document_id,section,title,status,discipline,required_for,authoritative_source,report_path,working_source,last_verified,notes
ARCH-006-A02,05,floor-plan-study.svg,draft,Architectural/Structural,Owner/design review,Owner-directed study; sources in study README,05-architectural-design/floor-plan-study/floor-plan-study.svg,../studies/20260915.04-floor-plan-setbacks/draw_floor_plan_study.py,2026-09-15,Revision 4; optional east-wall framing; prior duplicate/history files removed per DEC-011; SHA256 62a173ee2a1e37d71c6cbb24fa4cdbb73e2901c2ba3d6d3afcdba83ca5243fe3
ARCH-006-A03,05,basis.json,draft,Architectural/Structural,Owner/design review,Owner-directed study; sources in study README,05-architectural-design/floor-plan-study/basis.json,../studies/20260915.04-floor-plan-setbacks/draw_floor_plan_study.py,2026-09-15,Revision 4; optional east-wall framing; prior duplicate/history files removed per DEC-011; SHA256 3c62638984d76b2e05e4b240274b6f4f49064f4ee7e25c816eec3781acfb8df2
ARCH-006-A04,05,README.md,draft,Architectural/Structural,Owner/design review,Owner-directed study; sources in study README,05-architectural-design/floor-plan-study/README.md,../studies/20260915.04-floor-plan-setbacks/publish_clean_study.py,2026-09-15,Revision 4; optional east-wall framing; prior duplicate/history files removed per DEC-011; SHA256 e5aaf4c3d2fde499276cc13c731dd38dd07743541ffb05f85cf40a2ce07966c8
STR-001,06,Structural basis of design,planned,Structural,Design freeze,Licensed structural engineer,06-structural-engineering/structural-basis-of-design.pdf,,,Loads materials criteria and model assumptions
STR-002,06,Global analysis and load take-down,planned,Structural,Permit/construction,Licensed structural engineer,06-structural-engineering/global-analysis.pdf,../studies/20260911.01-structural-optimization/network-analysis/,,Must match accepted geometry and foundations
STR-003,06,Truss beam column and connection calculations,planned,Structural,Permit/construction,Licensed structural engineer,06-structural-engineering/member-connection-calculations.pdf,../studies/20260908.03-structural-analysis-v3/truss-design-and-calculations.pdf,,Prior package is preliminary and may use superseded geometry
STR-004,06,Structural drawing set,planned,Structural,Permit/construction,Licensed structural engineer,06-structural-engineering/structural-drawings.pdf,,,Plans elevations sections schedules and details
STR-005,06,Hoist trolley and jib design criteria,planned,Structural/Equipment,Procurement and structural design,Manufacturer and engineer,06-structural-engineering/hoist-trolley-jib-criteria.pdf,,,Nominal 1000-lb lifted load is owner criterion
STR-006,06,Coordinated frame geometry study,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/frame-geometry-study.pdf,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 eb8f8d86cd114fa5164b3a3d463821fc2c6140743c47896c7a4b9988cfc5d567
STR-006-A01,06,README.md,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/README.md,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 45ea10a2dd2e3290357c06b0f47acb35ccf1ebb4411e0ba1229254370e67b57b
STR-006-A02,06,beam-and-truss-positions.csv,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/beam-and-truss-positions.csv,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 224f4b35eec69976fdd3bb6fe80cd192a5d8ce04cd04df89c7b6172851057963
STR-006-A03,06,coordinated.compas.json,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/coordinated.compas.json,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 caec62cd38ab1313ed00852ef022c5fdce60d6e7c6c8224e3cdeb51b0f61bc73
STR-006-A04,06,coordination-report.md,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/coordination-report.md,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 2102c121c90385ec74109fd2010f2af61c05a9d181c8bb52ec6ec888190e8a56
STR-006-A05,06,floor-plan.png,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/floor-plan.png,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 185b2d0a875d5e62d808b5fa3d3dd11de1444a6c288df5897a7f98c7c40afedf
STR-006-A06,06,frame-geometry.obj,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/frame-geometry.obj,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 06b63baa03f54a647ac019a3a9e0ac41fe51a0447b8e88444554b199ab88e482
STR-006-A07,06,model-3d.html,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/model-3d.html,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 23200e98ba1d17f97bc60bcd724496c4d49622f486c8116c4347dc517799642a
STR-006-A08,06,source-inventory.csv,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/source-inventory.csv,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 23df159ce4365023d4baee2165c75094c55191100e74ce02b5a85837790fba6b
STR-006-A09,06,support-offsets.csv,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/support-offsets.csv,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 8789bb3d98ed8bd7c12f12b91dae9b7a762db7008dfd815cc5e882b1fedb1ffa
STR-006-A10,06,support-positions.csv,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/support-positions.csv,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 20ca59b017769b6ca8fd2276432780b9f24a0b6061cbabe9be4c0067405ade16
STR-006-A11,06,truss-members.csv,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/truss-members.csv,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 101996056c81252ada80266eeabf4c215b5e031c422419807aa3dec1fb242044
STR-006-A12,06,validation.json,draft,Structural,Owner review and structural geometry handoff,Owner-directed geometry; source-inventory.csv; no structural adequacy claim,06-structural-engineering/frame-geometry-study/validation.json,../studies/20260917.01-compas-frame/coordinated_study.py; ../studies/20260917.01-compas-frame/publish_report.py,2026-09-15,Revision 0; geometry checks only; SHA256 c5fa8e26c386817e4c82f60481a3833834c43b44b28ff1c3a9fd8baabf2dbb26
STR-007,06,Frame finite element analysis and member optimisation study,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/structural-analysis.md,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 41cece4ba2481af7efbc0eefc8017f1f34a0f9bca5b7a2c23521f1644e310354
STR-007-A01,06,README.md,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/README.md,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 62215cef96a1a257a9d53474dd06f0ed8ec9329dc235f49be56c3cac07ba08ba
STR-007-A02,06,design-load-basis.md,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/design-load-basis.md,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 5422b6c17e610c5e8c48ff8abaad2650b1f9503ee55558297da363e7b3bfd37f
STR-007-A03,06,fea-model-3d.html,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/fea-model-3d.html,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 6c0fd4547845761356e8db0be5283048932d2cb0e1978d05ba6a9c3f9db72950
STR-007-A04,06,figures/opportunity-map.png,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/figures/opportunity-map.png,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 3ebacfe3715b53ec76fd767e68b27ef96b1167ce27405be145e5f590759f8d48
STR-007-A05,06,figures/utilisation-adequate.png,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/figures/utilisation-adequate.png,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 21e1e9b743b186bda8996471cc1c25b16fe8016a20dfb87b483a6fc20b4a34de
STR-007-A06,06,figures/utilisation-as-drawn.png,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/figures/utilisation-as-drawn.png,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 2f72240f1d95238e23b3398567290a6bf3f51ee7b5c6df738162cc5aa77bafc7
STR-007-A07,06,figures/utilisation-histogram.png,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/figures/utilisation-histogram.png,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 498217854eb7490eb22fae3f14b145f99a28ac679254141a77da8b8163f230ce
STR-007-A08,06,figures/utilisation.png,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/figures/utilisation.png,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 9a74b11b6569aa95ee519dfd3745b40b434b70aaa741065e3707601ead796f53
STR-007-A09,06,figures/weight-by-group.png,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/figures/weight-by-group.png,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 b147339768c6235be6f55cf7041665fc7b382c471ba221de409a9baa962bba5c
STR-007-A10,06,findings.csv,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/findings.csv,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 7e3721e73424a77dd7bc0739f92dc8df97c239a93b6c78dec925c863b766f6e4
STR-007-A11,06,load-cases.csv,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/load-cases.csv,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 ec2a197489cec4a0801167f6b45134774e75a09011bbef0b2fec1a1c3af831f8
STR-007-A12,06,member-schedule.csv,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/member-schedule.csv,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 c3ade2fb45a97402a546658e48ad18b84a07d16023ee98073f7d698b50c71fb1
STR-007-A13,06,reactions.csv,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/reactions.csv,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 3c9b1cbd7bf55f5c6dd3e5d507c4d0e338b1ec1bc1d6215acfa56015128bb8f9
STR-007-A14,06,results.json,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/results.json,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 4a9ac92b59eac3c06562ea8ec8dcd41f4cc08042138a3740092224693e8e93ae
STR-007-A15,06,source-inventory.csv,draft,Structural,Owner review and structural engineering handoff,Preliminary engineering analysis by the project team; no structural adequacy is certified and no connection or foundation is designed,06-structural-engineering/fea-study/source-inventory.csv,../src/structural-analysis-v6/run_all.py; ../src/structural-analysis-v6/publish.py,2026-09-18,Revision 0; SHA256 927968babf0b4b9ef94d2790c5576d55cc2a4432b2bb04ea7f218a42ef5e437f
STR-008,06,Frame cost reduction study,draft,Structural,Owner cost decisions and scheme selection,Preliminary engineering study on project rates; not a quotation,06-structural-engineering/cost-reduction/cost-reduction-study.md,../src/structural-analysis-v6/cost.py; ../src/structural-analysis-v6/make_view.py,2026-09-18,"Revision 1; supersedes revision 0, which proposed deleting floor joists in error; SHA256 5074a707a0a6810ae1cee15be5add560a6616b6dcdbf5d1f054e8cd7114f8c8b"
STR-008-A01,06,cost-reduction-3d.html,draft,Structural,Owner cost decisions and scheme selection,Preliminary engineering study on project rates; not a quotation,06-structural-engineering/cost-reduction/cost-reduction-3d.html,../src/structural-analysis-v6/cost.py; ../src/structural-analysis-v6/make_view.py,2026-09-18,"Revision 1; supersedes revision 0, which proposed deleting floor joists in error; SHA256 a0a63ed5b3fb79d783729ee9548aa6c90599ea5c6eb00d84d1a2acbc669e173e"
STR-008-A02,06,cost-reduction-3d-solid.html,draft,Structural,Owner cost decisions and scheme selection,Preliminary engineering study on project rates; not a quotation,06-structural-engineering/cost-reduction/cost-reduction-3d-solid.html,../src/structural-analysis-v6/solid_view.py,2026-09-18,Revision 1; members extruded at true section size; SHA256 3a804b775ad74f896aa64bd2f45daefe6d5848fa6d5d3575ab2372bdb2e4fc13
ENV-001,07,Envelope basis and assembly schedule,planned,Architectural/Envelope,Design development,Coordinated products and code,07-building-envelope/envelope-basis.pdf,,,Roof walls insulation condensation corrosion
ENV-002,07,Waterproofing drainage and flashing details,planned,Architectural/Envelope,Construction,Coordinated design,07-building-envelope/envelope-details.pdf,,,Include PV roof hip cap balcony and existing transitions
ENV-003,07,"Infill wall panel options: materials, attachment, and structural role",draft,Envelope/Architectural,Design development,"Published manufacturer, trade-association, standards-body and trade-press sources accessed 2026-09-17; see study section 11",07-building-envelope/wall-panel-options/wall-panel-options.md,(desk research; no generator),2026-09-17,"Revision 1; owner-directed market and materials survey; research only; no product selection, structural design, code determination or quotation; prices are published market ranges; raises ENV-OI-01..12; rev 1 adds section 8A applying the coastal-corrosion finding to the roof; SHA256 06b07151a96db05498004f651a44bf2c07850e82dae2aad47f4343c525a504d2"
ENV-A003,07,README.md,draft,Envelope/Architectural,Design development,See ENV-003 section 11 sources,07-building-envelope/wall-panel-options/README.md,(desk research; no generator),2026-09-17,Supporting artifact for ENV-003 rev 0; SHA256 a9d577d1ad3dae13e1dbd3e2fb203bd40792204a827f41e27e4986466c629b57
SOL-001,08,Solar battery sizing and 30-35-40 degree roof analysis,draft,Energy,Design development,Weather/utility/manufacturer data,08-solar-electrical-and-energy/solar-energy-report.pdf,../studies/20260915.03-solar/chapter8/build_report.py; ../studies/20260915.03-solar/chapter8/analyze_chapter.py,2026-09-15,Revision 1; owner-review draft; 325 sqft gross face; includes historical gallery; tariff layout and costs provisional
SOL-002,08,PV and ESS permit drawing set,planned,Electrical/Solar,Permit/construction,Electrical designer and manufacturer data,08-solar-electrical-and-energy/pv-ess-drawings.pdf,,,Layout one-line equipment labels pathways and attachment
SOL-003,08,Utility interconnection package,planned,Electrical/Solar,Utility approval,Utility requirements,08-solar-electrical-and-energy/interconnection-package.pdf,,,Record current tariff/export assumptions
SOL-A001,08,README.md,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/README.md,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 cd0abe509f31c8b1f279de34ccf39f3022eef350535f7ab7dd852acf44f438c7
SOL-A002,08,README.md,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/README.md,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 383f4525eb8ed3f80118fce11fea5a0d98bbeae38e0b357415e36a2cd065952e
SOL-A003,08,angle-comparison.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/angle-comparison.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 97d5910187a3c17e80d0c3d6f5ff8c8da09793743a6478be04dbae01942eaf23
SOL-A004,08,azimuth.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/azimuth.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 04d0e4b802c50dfd1cec6ec930cc507989fd78f0fc94f07502013893349fa03b
SOL-A005,08,bill-fit.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/bill-fit.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 a9ddfcacfed5903713bbb079d402365882254e2bd52a336ef2e12ad97bee6864
SOL-A006,08,energy-balance-checks.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/energy-balance-checks.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 93ac6e59563a1ceb7e63abb057a8387a1ddebec95d90bff68d430aa7707e2971
SOL-A007,08,monthly-angle-production.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/monthly-angle-production.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 488e5bd52ff9ac39600fc2e2da5afa3ff68eaf1fa049ea744151929bc62f58a8
SOL-A008,08,power-bills-2026.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/power-bills-2026.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 e523846aa3640e42a0269d4b80454603690e3c50f19f87dc7196bba797b6af97
SOL-A009,08,prior-azimuth.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/prior-azimuth.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 04d0e4b802c50dfd1cec6ec930cc507989fd78f0fc94f07502013893349fa03b
SOL-A010,08,prior-monthly.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/prior-monthly.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 fbf3c993214004c01370c12d7406f095b305a74dd262d642a3acecd165ca078b
SOL-A011,08,prior-sensitivity.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/prior-sensitivity.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 f860a7c09a6c7ee1a901403a80d0acf5a2377da9691381e3648206a2dcf55964
SOL-A012,08,roof-geometry.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/roof-geometry.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 54a976ab580efb844dcd65a1146fd7e20bd749861ba6a358a3abfc0aa49ead7a
SOL-A013,08,sun-geometry.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/sun-geometry.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 30c885ddd3612dcf4850a0d784ffeaafa1357066469e86e4843e40729356cb65
SOL-A014,08,system-comparison.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/system-comparison.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 48e1ada3da51ba5d07b7877e7fb4382ea3f845f60fbef5a30894a3439aa8b2fc
SOL-A015,08,tilt-and-area.csv,draft,Energy/Architectural,Design development,See SOL-001 references and source-inventory.csv,08-solar-electrical-and-energy/data/tilt-and-area.csv,../studies/20260915.03-solar/chapter8/build_report.py,2026-09-15,Supporting artifact for SOL-001 rev 1; SHA256 b620960bc6fbd709e3e0d2c01199e1ccd01c1ad6cbbed02f78919870736ed251
