member,group,material,section,section_source,length_in,weight_lb,area_in2,Iz_in4,unbraced_in,slenderness_KLr,dcr,governing_mode,governing_combination,axial_lb,moment_strong_lbin,shear_lb,check_basis,flags,action,removal_verdict,removal_effect,proposed_section,proposed_saving_lb
BR-S-2,Bracing,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,127.4,22.0,0.609,0.188,63.7,115.0,0.601,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX-.ni],-4626.0,-1666.0,-24.0,AISC 360-16 LRFD,,keep,overloads,BR-S-1 goes 0.316 -> 2.878,,
BR-W-1,Bracing,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,131.7,22.7,0.609,0.188,65.9,118.0,0.416,H1-1a combined axial + flexure,C7 0.9D+1.0E [EY+],-3980.0,36.0,-3.0,AISC 360-16 LRFD,,keep,unstable,removing this member leaves a mechanism: Exception: Unstable node(s). See console output for details.,,
BR-W-2,Bracing,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,131.7,22.7,0.609,0.188,65.9,118.0,0.61,H1-1a combined axial + flexure,C5 0.9D+1.0W [WY-.pi],-4869.0,-1664.0,-22.0,AISC 360-16 LRFD,,keep,overloads,BR-W-1 goes 0.416 -> 3.154,,
E-M option B,EastSupportFrame,steel,HSS4X4X3/16,concept envelope,100.0,73.5,2.59,6.219,100.0,104.0,0.551,H1-1a combined axial + flexure,C5 0.9D+1.0W [WY-.pi],-5297.0,-9009.0,-113.0,AISC 360-16 LRFD,,downsize,overloads,E-N goes 0.562 -> 1.58,HSS2-1/2X2-1/2X1/8,43.0
E-N,EastSupportFrame,steel,HSS4X4X3/16,concept envelope,100.0,73.5,2.59,6.219,100.0,180.0,0.562,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY+.pi],-1495.0,2484.0,-195.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS1-1/2X1-1/2X1/8,56.2
E-OB,EastSupportFrame,steel,HSS3X3X1/8,concept envelope,257.0,95.2,1.306,1.786,23.0,20.0,0.729,flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],109.0,29593.0,1644.0,AISC 360-16 LRFD,,keep,unstable,"removing this member leaves a mechanism: Exception: The stiffness matrix is singular, which implies rigid body motion. The structure is unstable. Aborting analysis.",,
E-S,EastSupportFrame,steel,HSS4X4X3/16,concept envelope,100.0,73.5,2.59,6.219,100.0,104.0,0.481,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],2577.0,11118.0,197.0,AISC 360-16 LRFD,,downsize,overloads,East rafter 01 goes 0.567 -> 2.746,HSS2-1/2X2-1/2X1/8,43.0
E.SW0,MatchedEastTruss,steel,HSS4X4X3/16,concept envelope,2.0,1.5,2.59,6.219,1.0,1.0,0.559,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],4663.0,13989.0,747.0,AISC 360-16 LRFD,,downsize,overloads,E.W1 goes 0.465 -> 2.707,HSS2-1/2X2-1/2X1/8,0.9
E.W1,MatchedEastTruss,steel,HSS4X4X3/16,concept envelope,38.4,28.2,2.59,6.219,38.4,50.0,0.465,H1-1b combined axial + flexure,C2 1.2D+1.6L+0.5Lr,2135.0,-133.0,-6.0,AISC 360-16 LRFD,,downsize,overloads,T-S top / segment 1 goes 0.95 -> 1.23,HSS2X2X1/8,19.0
E.W3,MatchedEastTruss,steel,HSS4X4X3/16,concept envelope,113.8,83.6,2.59,6.219,112.8,99.0,0.413,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY+.pi],3958.0,32934.0,661.0,AISC 360-16 LRFD,,downsize,overloads,Wood joist 14-0 goes 0.683 -> 2.906,HSS3X3X3/16,22.5
E.W4,MatchedEastTruss,steel,HSS4X4X3/16,concept envelope,113.8,83.6,2.59,6.219,109.2,93.0,0.457,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY-.pi],12609.0,-9323.0,1692.0,AISC 360-16 LRFD,,downsize,overloads,E-M option B goes 0.551 -> 1.924,HSS3X3X1/8,41.4
E.bottom,MatchedEastTruss,steel,HSS3-1/2X3-1/2X3/16,concept envelope,322.0,204.7,2.241,4.057,108.9,81.0,0.616,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-9874.0,9370.0,-199.0,AISC 360-16 LRFD,,keep,overloads,E.slope goes 0.791 -> 2.373,,
E.clerestory,MatchedEastTruss,steel,HSS4X4X3/16,concept envelope,113.8,83.6,2.59,6.219,43.5,23.0,0.826,flexure,C3 1.2D+1.6Lr+1.0L,2752.0,-138925.0,4901.0,AISC 360-16 LRFD,,enlarge,overloads,Wood joist 14-0 goes 0.683 -> 4.145,HSS5X5X1/4,-55.0
E.rear.brace,MatchedEastTruss,steel,HSS2-1/4X2-1/4X1/8,concept envelope,135.7,36.8,0.957,0.713,135.7,116.0,0.855,H1-1a combined axial + flexure,C2 1.2D+1.6L+0.5Lr,-12940.0,5647.0,120.0,AISC 360-16 LRFD,,enlarge,overloads,E-N goes 0.562 -> 1.26,HSS3X3X1/8,-13.4
E.slope,MatchedEastTruss,steel,HSS2-1/2X2-1/2X1/8,concept envelope,160.6,48.9,1.074,1.0,70.4,60.0,0.791,H1-1a combined axial + flexure,C2 1.2D+1.6L+0.5Lr,14618.0,-37408.0,1401.0,AISC 360-16 LRFD,,enlarge,overloads,E-OB goes 0.729 -> 2.469,HSS3X3X1/8,-10.6
E.square.brace,MatchedEastTruss,steel,HSS2-1/4X2-1/4X1/8,concept envelope,157.5,42.8,0.957,0.713,157.5,299.0,0.835,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-1154.0,1928.0,-69.0,AISC 360-16 LRFD,KL/r = 299 exceeds 200,downsize,overloads,E.rear.brace goes 0.855 -> 1.006,HSS1-1/2X1-1/2X3/16,5.0
E.top,MatchedEastTruss,steel,HSS5X5X3/16,concept envelope,182.9,170.6,3.288,12.604,23.0,17.0,0.482,H1-1b combined axial + flexure,C2 1.2D+1.6L+0.5Lr,7343.0,69745.0,2410.0,AISC 360-16 LRFD,,downsize,unstable,removing this member leaves a mechanism: Exception: Unstable node(s). See console output for details.,HSS3-1/2X3-1/2X1/4,20.1
East rafter 01,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,63.4,23.5,1.306,1.786,63.4,114.0,0.567,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY-.pi],-1600.0,-3905.0,-115.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS1-1/2X1-1/2X1/8,12.5
East rafter 02,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,74.7,27.7,1.306,1.786,74.7,134.0,0.442,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY-.pi],-1216.0,-2054.0,66.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS1-1/2X1-1/2X1/8,14.8
East rafter 03,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,86.6,32.1,1.306,1.786,86.6,156.0,0.364,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY-.pi],627.0,-3452.0,107.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS1-1/2X1-1/2X1/8,17.1
East rafter 04,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,98.8,36.6,1.306,1.786,98.8,187.0,0.502,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY+.pi],-1135.0,-5553.0,149.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS1-1/2X1-1/2X3/16,12.9
East rafter 05,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,133.7,49.5,1.306,1.786,133.7,139.0,0.502,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],-3027.0,11935.0,-298.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2-1/2X2-1/2X1/8,8.8
East rafter 06,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,133.7,49.5,1.306,1.786,133.7,139.0,0.255,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX-.ni],749.0,9818.0,-261.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2-1/2X2-1/2X1/8,8.8
East rafter 07,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,133.7,49.5,1.306,1.786,133.7,139.0,0.195,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX-.ni],-219.0,7742.0,-238.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2-1/2X2-1/2X1/8,8.8
East rafter 08,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,133.7,49.5,1.306,1.786,133.7,139.0,0.186,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY-.pi],-532.0,-6627.0,171.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2-1/2X2-1/2X1/8,8.8
East rafter 09,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,133.7,49.5,1.306,1.786,133.7,139.0,0.438,H1-1a combined axial + flexure,C5 0.9D+1.0W [WY-.pi],-4574.0,-3691.0,141.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2-1/2X2-1/2X1/8,8.8
East rafter 10,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,133.7,49.5,1.306,1.786,133.7,139.0,0.246,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY+.pi],-913.0,-5759.0,162.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2-1/2X2-1/2X1/8,8.8
East rafter 11,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,133.7,49.5,1.306,1.786,133.7,176.0,0.254,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX-.ni],-498.0,3765.0,-181.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2X2X1/8,17.6
East rafter 12,EastRoofRafters,steel,HSS3X3X1/8,concept envelope,133.7,49.5,1.306,1.786,133.7,139.0,0.33,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY+.pi],-2248.0,-4222.0,134.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2-1/2X2-1/2X1/8,8.8
N1 / U-W,Columns,steel,HSS6X6X1/4,HSS6X6X1/4,115.0,170.4,5.224,28.568,78.8,82.0,0.63,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],11143.0,-17699.0,2950.0,AISC 360-16 LRFD,,downsize,unstable,"removing this member leaves a mechanism: Exception: The stiffness matrix is singular, which implies rigid body motion. The structure is unstable. Aborting analysis.",HSS2-1/2X2-1/2X1/8,135.4
N2,Columns,steel,HSS4X4X1/4,HSS4X4X1/4,115.0,109.7,3.364,7.788,84.8,88.0,0.512,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY+.pi],17159.0,-394.0,6.0,AISC 360-16 LRFD,,downsize,overloads,E-M option B goes 0.551 -> 2.676,HSS2-1/2X2-1/2X1/8,74.7
S1,Columns,steel,HSS4X4X3/16,HSS4X4X3/16,116.0,85.2,2.59,6.219,109.0,113.0,0.559,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-6332.0,-9148.0,1525.0,AISC 360-16 LRFD,,downsize,unstable,removing this member leaves a mechanism: Exception: Unstable node(s). See console output for details.,HSS2-1/2X2-1/2X1/8,49.9
S2,Columns,steel,HSS4X4X3/16,HSS4X4X3/16,115.0,84.5,2.59,6.219,109.0,93.0,0.416,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX-.ni],-7004.0,13349.0,-2225.0,AISC 360-16 LRFD,,downsize,unstable,"removing this member leaves a mechanism: Exception: The stiffness matrix is singular, which implies rigid body motion. The structure is unstable. Aborting analysis.",HSS3X3X1/8,41.9
S3,Columns,steel,HSS4X4X3/16,HSS4X4X3/16,115.0,84.5,2.59,6.219,115.0,119.0,0.29,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX-.ni],-2508.0,5819.0,-39.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,HSS2-1/2X2-1/2X1/8,49.5
T-N,Truss_TN,steel,HSS3X3X1/8,HSS3X3X1/8,245.5,90.9,1.306,1.786,28.6,24.0,0.465,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],11010.0,-21357.0,4765.0,AISC 360-16 LRFD,,keep,overloads,BR-N-ground-2 goes 0.473 -> 2.852,,
T-N diagonal 15,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,35.2,6.1,0.609,0.188,35.2,63.0,0.198,H1-1b combined axial + flexure,C3 1.2D+1.6Lr+1.0L,2117.0,-156.0,12.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N diagonal 16,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,35.2,6.1,0.609,0.188,35.2,63.0,0.11,H1-1b combined axial + flexure,C3 1.2D+1.6Lr+1.0L,-1117.0,-178.0,0.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N diagonal 17,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,35.2,6.1,0.609,0.188,35.2,63.0,0.073,H1-1b combined axial + flexure,C3 1.2D+1.6Lr+1.0L,-1215.0,43.0,12.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N diagonal 18,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,35.2,6.1,0.609,0.188,35.2,63.0,0.184,H1-1b combined axial + flexure,C3 1.2D+1.6Lr+1.0L,1496.0,365.0,32.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N diagonal 8,Truss_TN,steel,HSS2X2X1/8,HSS2X2X1/8,164.3,39.2,0.841,0.487,82.2,148.0,0.643,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX-.pi],-1997.0,291.0,27.0,AISC 360-16 LRFD,,downsize,overloads,T-N diagonal 9 goes 0.694 -> 3.735,HSS1-1/2X1-1/2X1/8,10.8
T-N diagonal 9,Truss_TN,steel,HSS2X2X1/8,2 x 2 in concept envelope matching diagonal 8,164.3,39.2,0.841,0.487,82.2,148.0,0.694,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-2322.0,282.0,-27.0,AISC 360-16 LRFD,,downsize,overloads,T-N diagonal 8 goes 0.643 -> 3.558,HSS1-1/2X1-1/2X1/8,10.8
T-N garage diagonal 1,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,52.4,9.0,0.609,0.188,52.4,94.0,0.376,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],8730.0,-131.0,1.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N garage diagonal 2,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,52.4,9.0,0.609,0.188,52.4,94.0,0.236,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-1830.0,350.0,20.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N garage diagonal 3,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,52.4,9.0,0.609,0.188,52.4,94.0,0.318,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],-3313.0,-1.0,-12.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N garage diagonal 4,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,52.4,9.0,0.609,0.188,52.4,94.0,0.311,H1-1a combined axial + flexure,C2 1.2D+1.6L+0.5Lr,5709.0,-298.0,-4.0,AISC 360-16 LRFD,,keep,overloads,N2 goes 0.512 -> 1.142,,
T-N garage door header,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,171.2,29.5,0.609,0.188,42.8,77.0,0.49,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],-7229.0,678.0,59.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N garage vertical 1,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,30.2,5.2,0.609,0.188,30.2,54.0,0.388,flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.pi],-88.0,1211.0,-62.0,AISC 360-16 LRFD,,keep,overloads,T-N garage door header goes 0.49 -> 1.411,,
T-N garage vertical 2,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,30.2,5.2,0.609,0.188,30.2,54.0,0.535,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY-.ni],1061.0,133.0,-8.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N garage vertical 3,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,30.2,5.2,0.609,0.188,30.2,54.0,0.337,flexure,C5 0.9D+1.0W [WX-.pi],-88.0,-140.0,10.0,AISC 360-16 LRFD,,keep,overloads,T-N garage door header goes 0.49 -> 1.329,,
T-N loading header,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,122.8,21.2,0.609,0.188,30.7,55.0,0.216,H1-1b combined axial + flexure,C3 1.2D+1.6Lr+1.0L,-1216.0,788.0,54.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N top / segment 1,Truss_TN,steel,HSS4X4X3/16,4 × 4 in — owner-requested top chord,245.5,180.3,2.59,6.219,49.1,36.0,0.328,flexure,C3 1.2D+1.6Lr+1.0L,-1102.0,35269.0,1819.0,AISC 360-16 LRFD,,downsize,overloads,A.purlin.1 goes 0.656 -> 3.705,HSS3-1/2X3-1/2X3/16,24.3
T-N upper east jamb,Truss_TN,steel,HSS4X4X3/16,HSS4X4X3/16,109.2,80.2,2.59,6.219,92.0,81.0,0.515,H1-1b combined axial + flexure,C3 1.2D+1.6Lr+1.0L,1808.0,12327.0,-370.0,AISC 360-16 LRFD,,downsize,overloads,T-N diagonal 9 goes 0.694 -> 1.149,HSS3X3X3/16,21.6
T-N vertical 11,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,17.2,3.0,0.609,0.188,17.2,31.0,0.145,flexure,C3 1.2D+1.6Lr+1.0L,-18.0,663.0,-68.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N vertical 12,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,17.2,3.0,0.609,0.188,17.2,31.0,0.169,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-313.0,-19.0,4.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-N vertical 13,Truss_TN,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,17.2,3.0,0.609,0.188,17.2,31.0,0.219,flexure,C3 1.2D+1.6Lr+1.0L,-80.0,-454.0,38.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-S,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,245.5,42.4,0.609,0.188,40.9,74.0,0.551,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX-.pi],1707.0,-1303.0,-41.0,AISC 360-16 LRFD,,keep,overloads,T-S top / segment 1 goes 0.95 -> 1.866,,
T-S diagonal 10,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,56.1,9.7,0.609,0.188,56.1,101.0,0.251,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-757.0,160.0,-6.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-S diagonal 11,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,56.1,9.7,0.609,0.188,56.1,101.0,0.19,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX-.pi],-727.0,24.0,3.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-S diagonal 12,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,56.1,9.7,0.609,0.188,56.1,101.0,0.205,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-1031.0,91.0,7.0,AISC 360-16 LRFD,,keep,overloads,T-S top / segment 1 goes 0.95 -> 1.097,,
T-S diagonal 13,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,56.1,9.7,0.609,0.188,56.1,101.0,0.457,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],1183.0,335.0,-10.0,AISC 360-16 LRFD,,keep,overloads,T-S top / segment 1 goes 0.95 -> 1.622,,
T-S diagonal 8,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,56.1,9.7,0.609,0.188,56.1,101.0,0.476,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.pi],1224.0,-1217.0,-31.0,AISC 360-16 LRFD,,keep,overloads,T-S top / segment 1 goes 0.95 -> 1.555,,
T-S diagonal 9,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,56.1,9.7,0.609,0.188,56.1,101.0,0.221,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX+.pi],1136.0,49.0,-5.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-S top / segment 1,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,245.5,42.4,0.609,0.188,40.9,74.0,0.95,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-2305.0,951.0,-61.0,AISC 360-16 LRFD,,keep,overloads,E.W1 goes 0.465 -> 1.066,,
